subdomain,sources
api.just-eat.io,subfinder
au-partnerapi.just-eat.io,subfinder
aus.api.just-eat.io,subfinder
dr-ie-orderpadapi.just-eat.io,subfinder
dr-ie-partnerapi.just-eat.io,subfinder
dr-uk-partnerapi.just-eat.io,subfinder
es-partnerapi.just-eat.io,subfinder
i18n.api.just-eat.io,subfinder
ie-partnerapi.just-eat.io,subfinder
it-partnerapi.just-eat.io,subfinder
nz-partnerapi.just-eat.io,subfinder
staging-au-partnerapi.just-eat.io,subfinder
staging-dk-partnerapi.just-eat.io,subfinder
staging-ie-partnerapi.just-eat.io,subfinder
staging-nz-partnerapi.just-eat.io,subfinder
staging-uk-partnerapi.just-eat.io,subfinder
uk-ops.just-eat.io,subfinder
uk-partnerapi.just-eat.io,subfinder
uk-restauranthelp-staging-uk.just-eat.io,subfinder
uk-restauranthelp.just-eat.io,subfinder
uk-restaurantsignupapi.just-eat.io,subfinder
uk.api.just-eat.io,subfinder
